exercise_name,category,difficulty,default_sets,reps_or_duration,instructions,image_file_suggestion,trainer_review_required,review_notes
Hip Flexor Stretch,Stretching,Beginner,2,30 seconds per side,Tuck your hips slightly and ease forward until you feel the front hip stretch.,/images/exercises/hip-flexor-stretch.jpg,false,
Child's Pose,Stretching,Beginner,2,30-45 seconds,Sit back toward your heels and relax your arms forward.,/images/exercises/childs-pose.jpg,false,
Foam Roller Upper Back,Stretching,Beginner,2,45 seconds,Roll slowly over the upper back and pause on tight areas.,/images/exercises/foam-roller-upper-back.jpg,false,
Burpee,Full Body,Intermediate,3,8-10 reps,Move from squat to plank and jump up in one smooth sequence.,/images/exercises/burpee.jpg,false,
Kettlebell Deadlift,Full Body,Beginner,4,10-12 reps,Hinge at the hips and stand tall while keeping the kettlebell close.,/images/exercises/kettlebell-deadlift.jpg,false,
Kettlebell Swing,Full Body,Advanced,4,12-15 reps,Drive the swing with your hips and keep your back neutral.,/images/exercises/kettlebell-swing.jpg,true,Coach should verify hinge technique before use.
Dumbbell Thruster,Full Body,Intermediate,3,10-12 reps,Squat with the dumbbells then press them overhead as you stand.,/images/exercises/dumbbell-thruster.jpg,false,
Slam Ball Slam,Full Body,Intermediate,4,10-12 reps,Lift the ball overhead and slam it down using your whole body.,/images/exercises/slam-ball-slam.jpg,false,
Battle Rope Waves,Full Body,Intermediate,4,20 seconds,Create even rope waves by driving your arms up and down.,/images/exercises/battle-rope-waves.jpg,false,
Step Board Toe Taps,Full Body,Beginner,4,20 seconds,Tap the board quickly with alternating feet while staying light.,/images/exercises/step-board-toe-taps.jpg,false,
Plyo Box Step-Up,Full Body,Beginner,3,10 reps per leg,Step fully onto the box and stand tall before stepping down.,/images/exercises/plyo-box-step-up.jpg,false,
Fixed Barbell Romanian Deadlift,Full Body,Intermediate,4,8-12 reps,Hinge from the hips and keep the bar close to your thighs.,/images/exercises/fixed-barbell-romanian-deadlift.jpg,false,
Shadow Boxing,Boxing,Beginner,3,1 minute rounds,Throw light punches in the air while staying on your toes.,/images/exercises/shadow-boxing.jpg,false,
Boxing Bag Punches,Boxing,Beginner,4,30 seconds,Throw straight punches into the bag and reset your guard each time.,/images/exercises/boxing-bag-punches.jpg,false,
Heavy Bag Intervals,Boxing,Intermediate,5,1 minute rounds,Work the bag hard for each round and keep your guard up.,/images/exercises/heavy-bag-intervals.jpg,false,
Boxing Pad Straight Punch Drill,Boxing,Intermediate,4,45 seconds,Throw crisp straight punches into the pad and return to guard.,/images/exercises/boxing-pad-straight-punch-drill.jpg,false,
Kick Pad Knee Strikes,Boxing,Intermediate,4,10 reps per side,Drive the knee forward into the pad and reset your stance.,/images/exercises/kick-pad-knee-strikes.jpg,false,
Shield Guard Punch Drill,Boxing,Intermediate,4,45 seconds,Throw controlled power punches into the shield and keep your feet set.,/images/exercises/shield-guard-punch-drill.jpg,false,
Boxing Footwork Steps,Boxing,Beginner,4,30 seconds,Step forward back and side to side while keeping your guard up.,/images/exercises/boxing-footwork-steps.jpg,false,

